,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
1,1,AL,1,FUEL COMB. ELEC. UTIL.,CO,1996,8.06884
2,1,AL,2,FUEL COMB. INDUSTRIAL,CO,1996,49.77487
3,1,AL,3,FUEL COMB. OTHER,CO,1996,34.23424
4,1,AL,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,44.2331
5,1,AL,5,METALS PROCESSING,CO,1996,36.1217
6,1,AL,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,1.1564
7,1,AL,7,OTHER INDUSTRIAL PROCESSES,CO,1996,64.08936
8,1,AL,8,SOLVENT UTILIZATION,CO,1996,0.1129
9,1,AL,9,STORAGE & TRANSPORT,CO,1996,0.0232
10,1,AL,10,WASTE DISPOSAL & RECYCLING,CO,1996,78.76121
11,1,AL,11,HIGHWAY VEHICLES,CO,1996,1674.01395
12,1,AL,12,OFF-HIGHWAY,CO,1996,364.5299
13,1,AL,14,MISCELLANEOUS,CO,1996,85.83249
14,1,AL,15,WILDFIRES,CO,1996,NA
15,1,AL,16,PRESCRIBED FIRES,CO,1996,NA
16,2,AK,1,FUEL COMB. ELEC. UTIL.,CO,1996,2.75036
17,2,AK,2,FUEL COMB. INDUSTRIAL,CO,1996,3.81848
18,2,AK,3,FUEL COMB. OTHER,CO,1996,9.41109
19,2,AK,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.11878
20,2,AK,5,METALS PROCESSING,CO,1996,NA
21,2,AK,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.01285
22,2,AK,7,OTHER INDUSTRIAL PROCESSES,CO,1996,NA
23,2,AK,9,STORAGE & TRANSPORT,CO,1996,NA
24,2,AK,10,WASTE DISPOSAL & RECYCLING,CO,1996,1.60046
25,2,AK,11,HIGHWAY VEHICLES,CO,1996,173.25628
26,2,AK,12,OFF-HIGHWAY,CO,1996,71.15374
27,2,AK,14,MISCELLANEOUS,CO,1996,621.38601
28,2,AK,15,WILDFIRES,CO,1996,NA
29,2,AK,16,PRESCRIBED FIRES,CO,1996,NA
30,4,AZ,1,FUEL COMB. ELEC. UTIL.,CO,1996,5.35889
31,4,AZ,2,FUEL COMB. INDUSTRIAL,CO,1996,11.99587
32,4,AZ,3,FUEL COMB. OTHER,CO,1996,13.41955
33,4,AZ,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.00102
34,4,AZ,5,METALS PROCESSING,CO,1996,1.66495
35,4,AZ,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,2.01507
36,4,AZ,7,OTHER INDUSTRIAL PROCESSES,CO,1996,8.83744
37,4,AZ,8,SOLVENT UTILIZATION,CO,1996,0.00032
38,4,AZ,9,STORAGE & TRANSPORT,CO,1996,NA
39,4,AZ,10,WASTE DISPOSAL & RECYCLING,CO,1996,79.86063
40,4,AZ,11,HIGHWAY VEHICLES,CO,1996,1084.92615
41,4,AZ,12,OFF-HIGHWAY,CO,1996,494.14342
42,4,AZ,14,MISCELLANEOUS,CO,1996,174.33091
43,4,AZ,15,WILDFIRES,CO,1996,NA
44,4,AZ,16,PRESCRIBED FIRES,CO,1996,NA
45,5,AR,1,FUEL COMB. ELEC. UTIL.,CO,1996,8.93074
46,5,AR,2,FUEL COMB. INDUSTRIAL,CO,1996,32.98697
47,5,AR,3,FUEL COMB. OTHER,CO,1996,22.68795
48,5,AR,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,41.85677
49,5,AR,5,METALS PROCESSING,CO,1996,5.70971
50,5,AR,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.89098
51,5,AR,7,OTHER INDUSTRIAL PROCESSES,CO,1996,15.78791
52,5,AR,8,SOLVENT UTILIZATION,CO,1996,0.03774
53,5,AR,9,STORAGE & TRANSPORT,CO,1996,0.04431
54,5,AR,10,WASTE DISPOSAL & RECYCLING,CO,1996,42.00078
55,5,AR,11,HIGHWAY VEHICLES,CO,1996,913.63369
56,5,AR,12,OFF-HIGHWAY,CO,1996,220.44218
57,5,AR,14,MISCELLANEOUS,CO,1996,51.07551
58,5,AR,15,WILDFIRES,CO,1996,NA
59,5,AR,16,PRESCRIBED FIRES,CO,1996,NA
60,6,CA,1,FUEL COMB. ELEC. UTIL.,CO,1996,14.15909
61,6,CA,2,FUEL COMB. INDUSTRIAL,CO,1996,60.33909
62,6,CA,3,FUEL COMB. OTHER,CO,1996,151.34988
63,6,CA,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,9.47131
64,6,CA,5,METALS PROCESSING,CO,1996,0.49959
65,6,CA,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,5.112
66,6,CA,7,OTHER INDUSTRIAL PROCESSES,CO,1996,13.62246
67,6,CA,8,SOLVENT UTILIZATION,CO,1996,0.08191
68,6,CA,9,STORAGE & TRANSPORT,CO,1996,0.36855
69,6,CA,10,WASTE DISPOSAL & RECYCLING,CO,1996,160.70977
70,6,CA,11,HIGHWAY VEHICLES,CO,1996,6890.96906
71,6,CA,12,OFF-HIGHWAY,CO,1996,2623.93853
72,6,CA,14,MISCELLANEOUS,CO,1996,1088.67241
73,6,CA,15,WILDFIRES,CO,1996,NA
74,6,CA,16,PRESCRIBED FIRES,CO,1996,NA
