,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
1,1,AL,1,FUEL COMB. ELEC. UTIL.,SO2,1996,584.96044
2,1,AL,2,FUEL COMB. INDUSTRIAL,SO2,1996,52.69352
3,1,AL,3,FUEL COMB. OTHER,SO2,1996,44.75749
4,1,AL,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,7.7348
5,1,AL,5,METALS PROCESSING,SO2,1996,12.75525
6,1,AL,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,33.2421
7,1,AL,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,19.6988
8,1,AL,8,SOLVENT UTILIZATION,SO2,1996,0.001
9,1,AL,9,STORAGE & TRANSPORT,SO2,1996,0.0056
10,1,AL,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.24874
11,1,AL,11,HIGHWAY VEHICLES,SO2,1996,6.43813
12,1,AL,12,OFF-HIGHWAY,SO2,1996,6.94036
13,1,AL,14,MISCELLANEOUS,SO2,1996,0.05438
14,1,AL,15,WILDFIRES,SO2,1996,NA
15,1,AL,16,PRESCRIBED FIRES,SO2,1996,NA
16,2,AK,1,FUEL COMB. ELEC. UTIL.,SO2,1996,0.78994
17,2,AK,2,FUEL COMB. INDUSTRIAL,SO2,1996,2.35028
18,2,AK,3,FUEL COMB. OTHER,SO2,1996,0.29788
19,2,AK,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,0.00289
20,2,AK,5,METALS PROCESSING,SO2,1996,NA
21,2,AK,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.00114
22,2,AK,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,NA
23,2,AK,9,STORAGE & TRANSPORT,SO2,1996,NA
24,2,AK,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.07418
25,2,AK,11,HIGHWAY VEHICLES,SO2,1996,0.51393
26,2,AK,12,OFF-HIGHWAY,SO2,1996,4.58759
27,2,AK,14,MISCELLANEOUS,SO2,1996,0.6611
28,2,AK,15,WILDFIRES,SO2,1996,NA
29,2,AK,16,PRESCRIBED FIRES,SO2,1996,NA
30,4,AZ,1,FUEL COMB. ELEC. UTIL.,SO2,1996,120.36288
