"","State Code","State","Tier 1 Code","pollutant","year","Sum"
"1","01","AL","01","FUEL COMB. ELEC. UTIL._CO",1996,"8.06884"
"2","01","AL","01","FUEL COMB. ELEC. UTIL._SO2",1996,"584.96044"
"3","01","AL","02","FUEL COMB. INDUSTRIAL_CO",1996,"49.77487"
"4","01","AL","02","FUEL COMB. INDUSTRIAL_SO2",1996,"52.69352"
"5","01","AL","03","FUEL COMB. OTHER_CO",1996,"34.23424"
"6","01","AL","03","FUEL COMB. OTHER_SO2",1996,"44.75749"
"7","01","AL","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"44.2331"
"8","01","AL","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"7.7348"
"9","01","AL","05","METALS PROCESSING_CO",1996,"36.1217"
"10","01","AL","05","METALS PROCESSING_SO2",1996,"12.75525"
"11","01","AL","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"1.1564"
"12","01","AL","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"33.2421"
"13","01","AL","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"64.08936"
"14","01","AL","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"19.6988"
"15","01","AL","08","SOLVENT UTILIZATION_CO",1996,"0.1129"
"16","01","AL","08","SOLVENT UTILIZATION_SO2",1996,"0.001"
"17","01","AL","09","STORAGE & TRANSPORT_CO",1996,"0.0232"
"18","01","AL","09","STORAGE & TRANSPORT_SO2",1996,"0.0056"
"19","01","AL","10","WASTE DISPOSAL & RECYCLING_CO",1996,"78.76121"
"20","01","AL","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.24874"
"21","01","AL","11","HIGHWAY VEHICLES_CO",1996,"1674.01395"
"22","01","AL","11","HIGHWAY VEHICLES_SO2",1996,"6.43813"
"23","01","AL","12","OFF-HIGHWAY_CO",1996,"364.5299"
"24","01","AL","12","OFF-HIGHWAY_SO2",1996,"6.94036"
"25","01","AL","14","MISCELLANEOUS_CO",1996,"85.83249"
"26","01","AL","14","MISCELLANEOUS_SO2",1996,"0.05438"
"27","01","AL","15","WILDFIRES_CO",1996,NA
"28","01","AL","15","WILDFIRES_SO2",1996,NA
